MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,7,2,6,0,0,1,0,0,413,2,0,,0.1,,,,,,1,,,
SimpleGumtree,7,2,6,0,0,1,0,0,4,2,0,,0.3,,,,,,1,,,
SimpleGumtree,7,2,6,0,0,1,0,0,3,2,0,,0.5,,,,,,1,,,
SimpleGumtree,7,2,6,0,0,1,0,0,3,2,0,,0.7,,,,,,1,,,
SimpleGumtree,7,2,6,0,0,1,0,0,3,2,0,,0.899,,,,,,1,,,
SimpleGumtree,7,2,6,0,0,1,0,0,3,2,0,,0.1,,,,,,2,,,
SimpleGumtree,7,2,6,0,0,1,0,0,3,2,0,,0.3,,,,,,2,,,
SimpleGumtree,7,2,6,0,0,1,0,0,3,2,0,,0.5,,,,,,2,,,
SimpleGumtree,7,2,6,0,0,1,0,0,3,2,0,,0.7,,,,,,2,,,
SimpleGumtree,7,2,6,0,0,1,0,0,3,2,0,,0.899,,,,,,2,,,
SimpleGumtree,7,2,6,0,0,1,0,0,3,2,0,,0.1,,,,,,3,,,
SimpleGumtree,7,2,6,0,0,1,0,0,3,2,0,,0.3,,,,,,3,,,
SimpleGumtree,7,2,6,0,0,1,0,0,3,2,0,,0.5,,,,,,3,,,
SimpleGumtree,7,2,6,0,0,1,0,0,3,2,0,,0.7,,,,,,3,,,
SimpleGumtree,7,2,6,0,0,1,0,0,3,2,0,,0.899,,,,,,3,,,
SimpleGumtree,34,2,20,14,0,0,0,0,3,2,0,,0.1,,,,,,4,,,
SimpleGumtree,34,2,20,14,0,0,0,0,3,2,0,,0.3,,,,,,4,,,
SimpleGumtree,34,2,20,14,0,0,0,0,3,2,0,,0.5,,,,,,4,,,
SimpleGumtree,34,2,20,14,0,0,0,0,3,2,0,,0.7,,,,,,4,,,
SimpleGumtree,34,2,20,14,0,0,0,0,3,2,0,,0.899,,,,,,4,,,
SimpleGumtree,34,2,20,14,0,0,0,0,3,2,0,,0.1,,,,,,5,,,
SimpleGumtree,34,2,20,14,0,0,0,0,3,2,0,,0.3,,,,,,5,,,
SimpleGumtree,34,2,20,14,0,0,0,0,3,2,0,,0.5,,,,,,5,,,
SimpleGumtree,34,2,20,14,0,0,0,0,3,2,0,,0.7,,,,,,5,,,
SimpleGumtree,34,2,20,14,0,0,0,0,3,2,0,,0.899,,,,,,5,,,
ClassicGumtree,11,6,8,2,0,1,0,0,3,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,11,6,8,2,0,1,0,0,3,3,0,0.2,,100,,,,,1,,,
ClassicGumtree,11,6,8,2,0,1,0,0,3,3,0,0.3,,100,,,,,1,,,
ClassicGumtree,11,6,8,2,0,1,0,0,3,3,0,0.4,,100,,,,,1,,,
ClassicGumtree,11,6,8,2,0,1,0,0,3,3,0,0.5,,100,,,,,1,,,
ClassicGumtree,11,6,8,2,0,1,0,0,3,3,0,0.6,,100,,,,,1,,,
ClassicGumtree,11,6,8,2,0,1,0,0,3,3,0,0.7,,100,,,,,1,,,
ClassicGumtree,11,6,8,2,0,1,0,0,3,3,0,0.799,,100,,,,,1,,,
ClassicGumtree,14,8,9,3,0,2,0,0,3,3,0,0.899,,100,,,,,1,,,
ClassicGumtree,39,25,11,5,0,23,0,0,3,3,0,0.999,,100,,,,,1,,,
ClassicGumtree,31,14,18,12,0,1,0,0,3,3,0,0.2,,100,,,,,2,,,
ClassicGumtree,31,14,18,12,0,1,0,0,3,3,0,0.3,,100,,,,,2,,,
ClassicGumtree,31,14,18,12,0,1,0,0,3,3,0,0.5,,100,,,,,2,,,
ClassicGumtree,31,14,18,12,0,1,0,0,3,3,0,0.6,,100,,,,,2,,,
ClassicGumtree,31,14,18,12,0,1,0,0,2,3,0,0.7,,100,,,,,2,,,
ClassicGumtree,31,14,18,12,0,1,0,0,2,3,0,0.799,,100,,,,,2,,,
