MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,8,1,8,0,0,0,0,0,1,2,0,,0.1,,,,,,1,,,
SimpleGumtree,8,1,8,0,0,0,0,0,1,2,0,,0.5,,,,,,1,,,
SimpleGumtree,8,1,8,0,0,0,0,0,1,2,0,,0.7,,,,,,1,,,
SimpleGumtree,8,1,8,0,0,0,0,0,0,2,0,,0.899,,,,,,1,,,
SimpleGumtree,8,1,8,0,0,0,0,0,0,2,0,,0.1,,,,,,2,,,
SimpleGumtree,8,1,8,0,0,0,0,0,0,2,0,,0.3,,,,,,2,,,
SimpleGumtree,8,1,8,0,0,0,0,0,0,2,0,,0.5,,,,,,2,,,
SimpleGumtree,8,1,8,0,0,0,0,0,0,2,0,,0.7,,,,,,2,,,
SimpleGumtree,8,1,8,0,0,0,0,0,0,2,0,,0.899,,,,,,2,,,
SimpleGumtree,54,2,31,23,0,0,0,0,0,2,0,,0.1,,,,,,3,,,
SimpleGumtree,54,2,31,23,0,0,0,0,0,2,0,,0.3,,,,,,3,,,
SimpleGumtree,54,2,31,23,0,0,0,0,0,2,0,,0.5,,,,,,3,,,
SimpleGumtree,54,2,31,23,0,0,0,0,0,2,0,,0.7,,,,,,3,,,
SimpleGumtree,54,2,31,23,0,0,0,0,0,2,0,,0.899,,,,,,3,,,
SimpleGumtree,54,2,31,23,0,0,0,0,0,2,0,,0.1,,,,,,4,,,
SimpleGumtree,54,2,31,23,0,0,0,0,0,2,0,,0.3,,,,,,4,,,
SimpleGumtree,54,2,31,23,0,0,0,0,0,2,0,,0.5,,,,,,4,,,
SimpleGumtree,54,2,31,23,0,0,0,0,0,2,0,,0.7,,,,,,4,,,
SimpleGumtree,54,2,31,23,0,0,0,0,1,2,0,,0.899,,,,,,4,,,
SimpleGumtree,248,2,128,120,0,0,0,0,1,2,0,,0.1,,,,,,5,,,
SimpleGumtree,248,2,128,120,0,0,0,0,1,2,0,,0.3,,,,,,5,,,
SimpleGumtree,248,2,128,120,0,0,0,0,1,2,0,,0.5,,,,,,5,,,
SimpleGumtree,248,2,128,120,0,0,0,0,1,2,0,,0.7,,,,,,5,,,
SimpleGumtree,248,2,128,120,0,0,0,0,1,2,0,,0.899,,,,,,5,,,
ClassicGumtree,8,1,8,0,0,0,0,0,2,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,8,1,8,0,0,0,0,0,1,3,0,0.2,,100,,,,,1,,,
ClassicGumtree,8,1,8,0,0,0,0,0,1,3,0,0.3,,100,,,,,1,,,
ClassicGumtree,8,1,8,0,0,0,0,0,2,3,0,0.4,,100,,,,,1,,,
ClassicGumtree,8,1,8,0,0,0,0,0,2,3,0,0.5,,100,,,,,1,,,
ClassicGumtree,8,1,8,0,0,0,0,0,2,3,0,0.6,,100,,,,,1,,,
ClassicGumtree,8,1,8,0,0,0,0,0,1,3,0,0.7,,100,,,,,1,,,
ClassicGumtree,8,1,8,0,0,0,0,0,1,3,0,0.799,,100,,,,,1,,,
ClassicGumtree,17,9,9,1,0,7,0,0,1,3,0,0.899,,100,,,,,1,,,
ClassicGumtree,30,20,10,2,0,18,0,0,1,3,0,0.999,,100,,,,,1,,,
ClassicGumtree,16,5,12,4,0,0,0,0,2,3,0,0.1,,100,,,,,2,,,
ClassicGumtree,16,5,12,4,0,0,0,0,2,3,0,0.2,,100,,,,,2,,,
ClassicGumtree,16,5,12,4,0,0,0,0,1,3,0,0.3,,100,,,,,2,,,
ClassicGumtree,16,5,12,4,0,0,0,0,1,3,0,0.4,,100,,,,,2,,,
ClassicGumtree,16,5,12,4,0,0,0,0,2,3,0,0.5,,100,,,,,2,,,
ClassicGumtree,37,9,21,13,0,3,0,0,0,3,0,0.6,,100,,,,,2,,,
ClassicGumtree,37,9,21,13,0,3,0,0,0,3,0,0.7,,100,,,,,2,,,
ClassicGumtree,37,9,21,13,0,3,0,0,0,3,0,0.799,,100,,,,,2,,,
ClassicGumtree,48,14,22,14,0,12,0,0,0,3,0,0.899,,100,,,,,2,,,
ClassicGumtree,48,14,22,14,0,12,0,0,0,3,0,0.999,,100,,,,,2,,,
ClassicGumtree,150,16,79,71,0,0,0,0,0,3,0,0.1,,100,,,,,3,,,
ClassicGumtree,150,16,79,71,0,0,0,0,1,3,0,0.2,,100,,,,,3,,,
ClassicGumtree,150,16,79,71,0,0,0,0,1,3,0,0.3,,100,,,,,3,,,
ClassicGumtree,156,6,80,72,0,4,0,0,1,3,0,0.4,,100,,,,,3,,,
ClassicGumtree,156,6,80,72,0,4,0,0,1,3,0,0.5,,100,,,,,3,,,
ClassicGumtree,156,6,80,72,0,4,0,0,1,3,0,0.6,,100,,,,,3,,,
ClassicGumtree,156,6,80,72,0,4,0,0,1,3,0,0.7,,100,,,,,3,,,
ClassicGumtree,156,6,80,72,0,4,0,0,0,3,0,0.799,,100,,,,,3,,,
ClassicGumtree,156,6,80,72,0,4,0,0,0,3,0,0.899,,100,,,,,3,,,
ClassicGumtree,156,6,80,72,0,4,0,0,0,3,0,0.999,,100,,,,,3,,,
ClassicGumtree,194,20,101,93,0,0,0,0,0,3,0,0.1,,100,,,,,4,,,
ClassicGumtree,194,20,101,93,0,0,0,0,0,3,0,0.2,,100,,,,,4,,,
ClassicGumtree,198,4,102,94,0,2,0,0,0,3,0,0.3,,100,,,,,4,,,
ClassicGumtree,198,4,102,94,0,2,0,0,0,3,0,0.4,,100,,,,,4,,,
ClassicGumtree,198,4,102,94,0,2,0,0,0,3,0,0.5,,100,,,,,4,,,
ClassicGumtree,198,4,102,94,0,2,0,0,0,3,0,0.6,,100,,,,,4,,,
ClassicGumtree,198,4,102,94,0,2,0,0,1,3,0,0.7,,100,,,,,4,,,
